"key","label","layer","unit","higher_is","na_meaning","n_gate"
"precip","Precipitation (annual)","climate","mm/yr","wetter","NA unless all 12 distinct calendar months have valid precipitation; partial-year totals are never summed.","12 of 12 distinct months"
"temp","Mean temperature","climate","°C","warmer","NA unless all 12 distinct calendar months have valid temperature, or when the within-site MAD outlier filter NA'd a corrupted-sensor year.","12 of 12 distinct months"
"precip_winter","Winter rain (Oct–Mar)","climate","mm","wetter winter","NA unless all 6 Oct-Mar months are present.","6 of 6 months"
"precip_monsoon","Monsoon rain (Jul–Sep)","climate","mm","wetter monsoon","NA when any of the 3 Jul-Sep months is missing.","3 of 3 months"
"temp_spring","Spring temperature","climate","°C","warmer spring","NA unless all 3 Mar-May months are present, or when within-site MAD outlier QC flags an implausible spring-temperature year.","3 of 3 months"
"greenup_doy","Green-up onset index","phenology","DOY-anchored index","later","DOY-anchored composition-adjusted onset index; NA unless >=2 recurrent species contribute, each with >=3 left-censor-screened individuals (therefore >=6 contributors). Exclusion of left-censored records is not interval-censored modeling and can select contributors by visit timing/cadence. It is not an observed pooled-median onset date. retrospective full-snapshot standardization: species recurrence, incidence connectivity, primary species references, and additive species/year effects are refit over the current source snapshot; future refreshes can revise historical index values; source commits and the bundle fingerprint preserve exact lineage",">=2 recurrent species/yr and >=3 individuals/species-year (therefore >=6 contributors); species eligible in >=3 years"
"fruiting_pct","Opportunistic observed-month fruiting peak","producer","% plants","more fruit","Opportunistic maximum among observed months with >=5 individuals, not a fixed-season annual estimate. NA when no month qualifies; opportunity varies and is exposed in fruiting_n_eligible_months.","context only; >=5 individuals in each eligible observed month; no fixed annual coverage gate"
"plant_richness","Plant richness","producer","species","more diverse","NA when the plant-diversity bundle has no plot data that year.","1+ plot/yr"
"plant_q1","Plant diversity (q1)","producer","eff. species","more diverse","Effective species (exp-Shannon Hill number); NA when fewer than 2 cover-scored species that year.",">=2 species/yr"
"plant_q2","Plant diversity (q2)","producer","eff. species","more diverse","Effective species (inverse-Simpson Hill number); NA when fewer than 2 cover-scored species that year.",">=2 species/yr"
"plant_intro_pct","Introduced plant cover","producer","% cover","more invaded","NA when cover is unscored that year; only nativeStatusCode='I' counts as introduced ('NI' remains unknown).","total scored cover > 0"
"mammal_cpue","Small-mammal catch rate","consumer","per 100 TN","more rodents","NA when no reviewed trapping effort is recorded that year. Canonical trap-event duplicates must match the locked multi-capture or exact source-documented double-trap rules; unreviewed ambiguity aborts the build.","effort>0"
"mammal_mnka","Small mammals (indiv.)","consumer","individuals","more rodents","Zero when trapping rows exist but no tagged individual is captured; NA when no trapping records exist that year.","trapping records present; zero tags allowed"
"bird_index","Bird detection index","consumer","birds/point","more birds","NA when no observed point-count occasion that year. Flyovers are excluded. Annual source effort omits zero-detection visits, so this remains a descriptive lower-denominator index and carries no prior.","1+ observed point-visit/yr"
"bird_richness","Bird richness","consumer","species","more species","NA when no observed point-count detection occasion exists; zero when observed rows contain only excluded flyovers/non-species records.","1+ observed visit/yr"
"mosq_activity","Mosquito activity","consumer","per trap-nt","more mosquitoes","NA when no CO2 trap effort that year.","effort>0"
"mosq_richness","Mosquito richness","consumer","species","more species","Zero when recorded effort has no target catch; NA when neither effort nor identified mosquito catch is available.","effort>0; zero catch retained"
"mosq_culex","Culex share (WNV group)","consumer","% of catch","more Culex","NA when the catch is zero or unidentified to the Culex group.","total catch>0"
"beetle_activity","Ground-beetle activity","consumer","per 100 TN","more active beetles","NA when no catch-bearing pitfall event effort is available that year; source bundles omit zero-catch events, so the denominator is incomplete. Activity-density (per 100 recorded trap-nights), not abundance.","effort>0"
"beetle_richness","Ground-beetle richness","consumer","species","more species","Species-level carabids only (taxonRank species/subspecies/speciesGroup); genus/family IDs excluded. NA when no identified carabid catch that year.","1+ species/yr"
"temp_n_months","Valid annual-temperature months","climate","months","more coverage","NA when no climate rows exist for the site-year; otherwise counts distinct valid calendar months after range QC.","0-12; temp requires 12"
"precip_n_months","Valid annual-precipitation months","climate","months","more coverage","NA when no climate rows exist for the site-year; otherwise counts distinct valid calendar months after range QC.","0-12; precip requires 12"
"precip_winter_n_months","Valid winter-rain months","climate","months","more coverage","NA when no Oct-Mar water-year rows exist; otherwise counts valid months in the six-month window.","0-6; precip_winter requires 6"
"precip_monsoon_n_months","Valid monsoon-rain months","climate","months","more coverage","NA when no Jul-Sep rows exist; otherwise counts valid months in the three-month window.","0-3; precip_monsoon requires 3"
"temp_spring_n_months","Valid spring-temperature months","climate","months","more coverage","NA when no Mar-May rows exist; otherwise counts valid months in the three-month window.","0-3; temp_spring requires 3"
"fruiting_n_eligible_months","Eligible observed fruiting months","producer","months","more opportunity","Zero when monthly rows exist but none has finite fruiting status supported by >=5 individuals; counts observed opportunities, not fixed seasonal coverage.","0-12 audit; fruiting remains context-only"
"fruiting_peak_n_individuals","Individuals behind observed-month fruiting peak","producer","individuals","more support","NA when no fruiting month qualifies; otherwise the minimum observed-individual count among months tied at the annual observed maximum.",">=5 by construction; audit only"
"greenup_n_onsets","Candidate green-up individual-years","phenology","individuals","more source support","NA when no finite earliest green-up record exists that year. Includes left-censored first-visit-already-yes records before exclusions.","audit total; must equal censored + taxon-excluded + contributors"
"greenup_n_left_censored","Left-censored green-up records","phenology","individuals","more censoring","NA when no candidate green-up record exists that year; otherwise counts earliest individual-year records whose first visit was already yes and therefore supplies only an upper bound. Exclusion is a screen, not interval-censored modeling, and may select contributors by visit timing/cadence.","excluded from greenup_doy; audit censor burden"
"greenup_n_taxon_excluded","Composition/support-excluded green-up records","phenology","individuals","more exclusions","NA when no candidate record exists; otherwise counts uncensored individual-years excluded because taxon identity is unresolved, species-year n<3, species recurs in <3 eligible years, or the species belongs to a disconnected incidence component not selected for the site index.","excluded from greenup_doy"
